"frame","sid","panes","vt_dirty","visual_dirty","resize","start_us","build_us","draw_us","present_us","total_us","quads"
"84","0","1","1","0","0","10485","52.8","81.1","180.6","10807.1","2497"
"85","0","1","1","0","0","12362.8","50.7","90.5","187.7","12698.7","2497"
"86","0","1","1","0","0","11231.1","53.7","91.8","185.2","11569.3","2497"
"87","0","1","1","0","0","11688.8","53.5","83.9","179.4","12012.7","2497"
"88","0","1","1","0","0","11825.9","70.7","78.4","171.6","12152.8","2497"
"89","0","1","1","0","0","11201.1","68.5","77.8","249.8","11604.4","2497"
"90","0","1","1","0","0","8952.5","56.2","201.4","274.2","9491.2","2497"
"91","0","1","1","0","0","10459","74.1","90.4","189.4","10820.6","2497"
"92","0","1","1","0","0","9401.3","72.7","93.9","173.7","9748.9","2497"
"93","0","1","1","0","0","9847.7","49.5","84.4","153.5","10143.5","2497"
"94","0","1","1","0","0","21005.8","50.5","86.6","156.9","21307.8","2497"
"95","0","1","1","0","0","9184.9","51.1","1123.4","161.5","10529.6","2497"
"96","0","1","1","0","0","9489.7","51","3432.1","150.6","13130.9","2497"
"97","0","1","1","0","0","9348.9","45.8","91.8","201.5","9695.6","2497"
"98","0","1","1","0","0","9233.9","60.9","270","4278.4","13853.4","2497"
"99","0","1","1","0","0","9509","49.7","88.6","217.9","9873.9","2497"
"100","0","1","1","0","0","9564.7","50","89.4","160.2","9871.1","2497"
"101","0","1","1","0","0","9618.7","51.7","83.9","179.7","9941.3","2497"
"102","0","1","1","0","0","11410.9","59.9","81.4","171.4","11730.5","2497"
"103","0","1","1","0","0","11218.7","49.1","88.5","233.2","11596.6","2497"
"104","0","1","1","0","0","15118","76.4","276.4","925.8","16403.6","2497"
"105","0","1","1","0","0","12632.7","70","77.3","214.1","13002.5","2497"
"106","0","1","1","0","0","9271.5","71.1","68.6","189","9607.5","2497"
"107","0","1","1","0","0","9722.2","65.5","80","150.5","10025","2497"
"108","0","1","1","0","0","10871","77.4","74.7","212.8","11243.2","2497"
"109","0","1","1","0","0","10640.2","70.3","67.1","208.9","10993.8","2497"
"110","0","1","1","0","0","11986.5","57","78.5","141.1","12271.4","2497"
"111","0","1","1","0","0","10752","66.2","78.9","128.1","11032.5","2497"
"112","0","1","1","0","0","13147.8","53.6","80.4","228.5","13517.3","2497"
"113","0","1","1","0","0","9555.2","72","73.6","146.9","9854.8","2497"
"114","0","1","1","0","0","10108.5","74.6","88.2","139.1","10417.1","2497"
"115","0","1","1","0","0","16660.7","90.5","88.6","189.2","17036.5","2497"
"116","0","1","1","0","0","15514.5","66.2","187.1","235.4","16011.6","2497"
"117","0","1","1","0","0","11264.4","49.8","67","154.8","11541.8","2497"
"118","0","1","1","0","0","9940.8","67.4","78.6","125.1","10219","2497"
"119","0","1","1","0","0","10255.2","65.6","86","232.7","10645.4","2497"
"120","0","1","1","0","0","15615.6","67.4","2287.4","132.9","18109.2","2497"
"121","0","1","1","0","0","16295.4","84.7","130.4","280","16800","2497"
"122","0","1","1","0","0","16648","106.5","88","178.7","17029.7","2497"
"123","0","1","1","0","0","18851.3","73.7","153.3","293.6","19379.7","2497"
"124","0","1","1","0","0","18026.9","118.7","159.7","234.9","18551.5","2497"
"125","0","1","1","0","0","19190.2","66.1","188.4","200.3","19653.7","2497"
"126","0","1","1","0","0","9038.6","52.7","76.1","160.2","9334","2497"
"127","0","1","1","0","0","14539.3","119.3","353.6","4415.4","19435.2","2497"
"128","0","1","1","0","0","9455","51.8","69.6","146","9728.4","2497"
"129","0","1","1","0","0","11679.6","96.5","133.9","189.7","12105.9","2497"
"130","0","1","1","0","0","13172.3","65.1","74.4","167.5","13484.9","2497"
"131","0","1","1","0","0","12027.4","54.3","84","181.8","12354.5","2497"
"132","0","1","1","0","0","11823.3","74.8","97","181.9","12197.3","2497"
"133","0","1","1","0","0","13953.2","44.7","85.6","167.2","14258.6","2497"
"134","0","1","1","0","0","9523.3","58.9","68.6","150.5","9807.4","2497"
"135","0","1","1","0","0","15814.1","52.2","173.6","271.5","16318.4","2497"
"136","0","1","1","0","0","18655.4","58.9","157.3","815","19693.3","2497"
"137","0","1","1","0","0","9383","49.2","82.8","160.9","9683.9","2497"
"138","0","1","1","0","0","10154.6","62.9","129.9","141.7","10495","2497"
"139","0","1","1","0","0","11310.6","74.4","72.4","165.1","11628.9","2497"
"140","0","1","1","0","0","12330.8","70.8","133.5","176.5","12717.6","2497"
"141","0","1","1","0","0","10251.3","71.9","70.2","155","10554.2","2497"
"142","0","1","1","0","0","10293.5","71.7","79.5","253.3","10705.6","2497"
"143","0","1","1","0","0","10899.7","88.7","70.2","187.3","11251.9","2497"
"144","0","1","1","0","0","11075.7","72.2","77.6","333.6","11565.7","2497"
"145","0","1","1","0","0","10301.4","69.4","68.6","160.5","10605.8","2497"
"146","0","1","1","0","0","10663.9","68","67.3","266.3","11071.5","2497"
"147","0","1","1","0","0","12940.5","62.9","73.5","238.5","13321","2497"
"148","0","1","1","0","0","10373.9","68.2","68.9","153.1","10669.9","2497"
"149","0","1","1","0","0","13163","49.2","195","300.2","13714.8","2497"
"150","0","1","1","0","0","15280.5","46.4","124","188.5","15646.8","2497"
"151","0","1","1","0","0","9827.2","55.1","83.7","217.5","10191.6","2497"
"152","0","1","1","0","0","9031.4","49.6","83.4","222","9394.6","2497"
"153","0","1","1","0","0","9759","43.7","83.7","189.1","10083.1","2497"
"154","0","1","1","0","0","10370.3","55.7","69.6","169.2","10670.2","2497"
"155","0","1","1","0","0","10787.1","53.6","120.8","233.7","11202.7","2497"
"156","0","1","1","0","0","9962.3","67.6","196.3","251.7","10485.9","2497"
"157","0","1","1","0","0","9740.7","47.4","89.1","195.1","10079.8","2497"
"158","0","1","1","0","0","15653.6","58.9","80.3","210.2","16009.8","2497"
"159","0","1","1","0","0","11240.3","57.3","86.2","163.1","11552.9","2497"
"160","0","1","1","0","0","10701.8","56.3","120.8","130.2","11016.5","2497"
"161","0","1","1","0","0","13535.1","70.4","78.6","156.7","13848.9","2497"
"162","0","1","1","0","0","15645.8","91.7","99.1","216.3","16061","2497"
"163","0","1","1","0","0","13024","57","75.5","162.6","13325.3","2497"
"164","0","1","1","0","0","11440.2","59","70.4","150.6","11725.9","2497"
"165","0","1","1","0","0","10958.4","50.2","68.8","152.7","11236","2497"
"166","0","1","1","0","0","10284.6","61.6","71.6","152.3","10576.2","2497"
"167","0","1","1","0","0","12112.3","54.4","67.4","151.5","12391.7","2497"
"168","0","1","1","0","0","11235.8","55.6","69.1","276.7","11643.5","2497"
"169","0","1","1","0","0","10253.5","56.7","65.7","142.8","10524.1","2497"
"170","0","1","1","0","0","11396.6","56","65.3","149.4","11672.6","2497"
"171","0","1","1","0","0","11338.6","55.8","74.3","165.1","11639.8","2497"
"172","0","1","1","0","0","11139.1","54.9","66.1","154.9","11420.8","2497"
"173","0","1","1","0","0","12512.2","55.8","73.2","151.2","12798.9","2497"
"174","0","1","1","0","0","13840.7","51.8","82.9","258.2","14243.1","2497"
"175","0","1","1","0","0","11251.6","51.5","78.8","214.1","11602.6","2497"
"176","0","1","1","0","0","10642.4","54.2","71.4","134.1","10908","2497"
"177","0","1","1","0","0","12886.1","55.3","71.7","197.8","13216.4","2497"
"178","0","1","1","0","0","12272.7","53.6","63.8","149.8","12545.3","2497"
"179","0","1","1","0","0","13109.1","51.4","75.3","172.4","13415.2","2497"
"180","0","1","1","0","0","11671.4","44.6","81","163.1","11967.7","2497"
"181","0","1","1","0","0","9268.4","58.1","67.5","155.8","9556.1","2497"
"182","0","1","1","0","0","11991.6","60.9","67.3","155.9","12281.3","2497"
"183","0","1","1","0","0","11211.1","61.9","64.8","160.7","11503.7","2497"
"184","0","1","1","0","0","20664.2","100.4","3316.3","476.7","24567","2497"
"185","0","1","1","0","0","9735.9","68.9","80.1","138.5","10029.6","2497"
"186","0","1","1","0","0","12691.4","67.1","77.2","118.2","12959.3","2497"
"187","0","1","1","0","0","13872.7","69.3","66.1","148.9","14162.4","2497"
"188","0","1","1","0","0","8974","75.3","81.6","183.7","9321.1","2497"
"189","0","1","1","0","0","10723","67.1","67.6","151.6","11014.5","2497"
"190","0","1","1","0","0","11188.4","68.6","69.1","160.9","11493.7","2497"
"191","0","1","1","0","0","11394.4","66.4","65.1","154.9","11687","2497"
"192","0","1","1","0","0","11981.2","68.8","72.6","171.2","12300.4","2497"
"193","0","1","1","0","0","11133.5","69.6","67.6","158.5","11435.9","2497"
"194","0","1","1","0","0","12990.2","52.9","72.5","211.3","13333.7","2497"
"195","0","1","1","0","0","13693.6","66.8","67.9","201.9","14036.8","2497"
"196","0","1","1","0","0","11421.5","64.9","67.8","160.5","11720.4","2497"
"197","0","1","1","0","0","15661.5","50.4","147.8","271.4","16137.9","2497"
"198","0","1","1","0","0","9462.3","51.6","89","193.7","9804.9","2497"
"199","0","1","1","0","0","9533.8","56.9","80","175.9","9853.2","2497"
"200","0","1","1","0","0","10954.8","50.6","67.5","160.2","11238.4","2497"
"201","0","1","1","0","0","21033.5","49.1","79.3","284.7","21453.7","2497"
"202","0","1","1","0","0","14644.2","51.5","92.9","165.2","14960.2","2497"
"203","0","1","1","0","0","13346.5","60.4","70","158.3","13640.4","2497"
"204","0","1","1","0","0","12176.1","56.1","70.2","157.7","12465","2497"
"205","0","1","1","0","0","11332.3","57.9","70.7","161.2","11627.5","2497"
"206","0","1","1","0","0","10138.2","58.7","74.8","179.8","10457.4","2497"
"207","0","1","1","0","0","11793.3","50.9","71.7","161.8","12083.6","2497"
"208","0","1","1","0","0","12092","58","72.4","157.9","12385.9","2497"
"209","0","1","1","0","0","11924.3","51.3","66.8","154.2","12201.5","2497"
"210","0","1","1","0","0","11094.1","56.7","69","157","11382.8","2497"
"211","0","1","1","0","0","11812.3","106.8","80.6","153.9","12161.1","2497"
"212","0","1","1","0","0","10576.1","50.8","75.6","154.8","10865","2497"
"213","0","1","1","0","0","12870.8","52.5","66.3","137.2","13132.5","2497"
"214","0","1","1","0","0","13129.6","55.7","64.2","136.6","13392.3","2497"
"215","0","1","1","0","0","11854.8","57.4","153.5","306","12378.6","2497"
"216","0","1","1","0","0","8950.5","45.8","84.4","171.5","9259.3","2497"
"217","0","1","1","0","0","11620.3","84.9","96.1","170.4","11979.6","2497"
"218","0","1","1","0","0","15728.4","88.9","77.2","152.6","16053.9","2497"
"219","0","1","1","0","0","10015.4","65.6","177","4074.7","14340.3","2497"
"220","0","1","1","0","0","9361.6","66.8","6481.4","17266.9","33183.7","2497"
"221","0","1","1","0","0","9478","46.5","65.5","147.2","9744.9","2497"
