"(PDH-CSV 4.0) (","\\SOOJANG\Processor Information(_Total)\% Processor Utility","\\SOOJANG\Process(GhostWin.App)\% Processor Time"
"04/28/2026 22:42:06.213"," "," "
"04/28/2026 22:42:07.260","58.828889249160326358","103.46805442078826331"
"04/28/2026 22:42:08.276","78.610735984415157418","115.18547281554036488"
"04/28/2026 22:42:09.294","42.128296023225892952","50.699906992403342088"
"04/28/2026 22:42:10.327","51.553626629804661263","52.936488023745745579"
"04/28/2026 22:42:11.348","12.673869912175673491","50.505436368439468708"
"04/28/2026 22:42:12.367","18.530015667453966444","41.407071930377817637"
"04/28/2026 22:42:13.398","16.722358630894678555","77.261309455940761381"
"04/28/2026 22:42:14.419","22.279444833589543862","30.6104737384664638"
"04/28/2026 22:42:15.450","15.730682781294531125","45.470229101082423995"
"04/28/2026 22:42:16.464","14.998082855362087074","43.147003369115267901"
"04/28/2026 22:42:17.487","15.850843369347751732","42.773891246965987989"
"04/28/2026 22:42:18.504","21.004307733833837091","39.938889811921008288"
"04/28/2026 22:42:19.538","12.297752068831364625","40.790684205411977814"
"04/28/2026 22:42:20.556","10.777652761627678046","41.46496877263987102"
"04/28/2026 22:42:21.578","12.919619738629048555","45.865931167933005952"
"04/28/2026 22:42:22.609","10.826754873417819169","40.902336322059980489"
"04/28/2026 22:42:23.622","18.942529389188191402","47.822682035218818442"
"04/28/2026 22:42:24.640","16.562934392063297651","39.89748139598856369"
"04/28/2026 22:42:25.651","20.184638405723820398","43.28823144866763073"
"04/28/2026 22:42:26.689","16.667426449057593629","42.143993551342845194"
"04/28/2026 22:42:27.708","37.860513488594563114","47.537361053507417807"
"04/28/2026 22:42:28.724","14.056176012301866862","49.1951186635457276"
"04/28/2026 22:42:29.746","15.899841397576430779","42.82508102994760435"
"04/28/2026 22:42:30.777","10.766771088790903832","37.870319616287503095"
"04/28/2026 22:42:31.791","11.721318166716764964","49.331528194053660741"
"04/28/2026 22:42:32.798","10.629072785267805301","46.563800154427916311"
"04/28/2026 22:42:33.804","10.496763787473083696","40.351553661457764122"
"04/28/2026 22:42:34.813","20.71514508138712074","38.735886750100497977"
"04/28/2026 22:42:35.826","13.955528231483643964","49.34165404671627897"
