"frame","sid","panes","vt_dirty","visual_dirty","resize","start_us","build_us","draw_us","present_us","total_us","quads"
"109","0","1","1","0","0","16164.9","56.5","11082.5","184.6","27492.8","3604"
"110","0","1","1","0","0","123522.5","65.2","75.7","133","123803.3","3655"
"111","0","1","1","0","0","513764.2","891.6","143.7","148.1","514952","3533"
"112","0","1","1","0","0","61057.2","66.3","75.5","205.3","61411.3","3658"
"113","0","1","1","0","0","432645.6","73.7","4427.4","249.9","437405.1","3374"
"114","0","1","1","0","0","29377.5","58.8","75","154","29673.3","3292"
"115","0","1","1","0","0","60858.1","55","82.4","273.6","61276.5","3394"
"116","0","1","1","0","0","239313.4","84.9","285.8","181.2","239873.2","3350"
"117","0","1","1","0","0","243167.4","63.4","363.7","2492.3","246095.2","3391"
"118","0","1","1","0","0","17590.6","61.2","1112.2","233","19004.7","3280"
"119","0","1","1","0","0","151559.2","61.9","9650.6","23287.7","184566.3","3331"
"120","0","1","1","0","0","292578.5","86.2","22118.1","912.6","315709","3344"
"121","0","1","1","0","0","105611.8","57.8","3733.7","14513.8","123923.2","3407"
"122","0","1","1","0","0","159242.5","57.2","10213.6","181.7","169701.7","3389"
"123","0","1","1","0","0","134939.5","106.2","657.7","220.5","135933.9","3332"
"124","0","1","1","0","0","165354.5","72","10098","151.1","175683.6","3340"
"125","0","1","1","0","0","24797.5","68.4","93.9","246.7","25214.5","3292"
"126","0","1","1","0","0","25321.7","66.8","95.3","250.9","25743.6","3292"
"127","0","1","1","0","0","23748.9","59.8","25001.2","141.4","48959.2","3292"
"128","0","1","1","0","0","15967.9","64.2","77.3","219.3","16336.1","3275"
"129","0","1","1","0","0","250415.9","59.2","71","159","250712.9","3330"
"130","0","1","1","0","0","126620.7","67.9","15237.3","207.2","142139.5","3616"
"131","0","1","1","0","0","28229","83.8","1109.4","133.6","29563.4","3642"
"132","0","1","1","0","0","47836.3","78.7","105.8","181.8","48209.4","3497"
"133","0","1","1","0","0","591842.1","64.6","3661.1","285.9","595862.4","3689"
"134","0","1","1","0","0","171896.7","1509.7","179.6","181","173772.6","3509"
"135","0","1","1","0","0","130961.1","65.3","85.1","203.7","131323.6","3365"
"136","0","1","1","0","0","122174.4","507.7","2745.2","11.2","125442.1","3629"
