"(PDH-CSV 4.0) (","\\SOOJANG\Processor Information(_Total)\% Processor Utility","\\SOOJANG\Process(GhostWin.App)\% Processor Time"
"04/27/2026 08:38:21.763"," "," "
"04/27/2026 08:38:22.876","32.090076765969435257","87.066730288312214725"
"04/27/2026 08:38:23.900","26.262890543238185614","103.74213756646820173"
"04/27/2026 08:38:24.930","23.751130940448273776","107.79017771691488292"
"04/27/2026 08:38:26.024","20.533353373675414133","104.25810912146140197"
"04/27/2026 08:38:27.073","24.253808548904085995","113.11674104906037996"
"04/27/2026 08:38:28.121","26.934513304060534011","108.8459490460204222"
"04/27/2026 08:38:29.164","35.207588822890876656","110.14870384626414079"
"04/27/2026 08:38:30.251","26.934495275076304921","101.28809752106005249"
"04/27/2026 08:38:31.279","20.204176464176153871","118.58480528496598083"
"04/27/2026 08:38:32.295","20.960817583137110631","106.06667436003611726"
"04/27/2026 08:38:33.325","22.204077130535289086","101.65179123686063178"
"04/27/2026 08:38:34.357","22.015736481557048876","110.55724924549674881"
"04/27/2026 08:38:35.383","19.571988219256887476","105.01855486091378111"
"04/27/2026 08:38:36.444","18.567802628781493013","104.54505103636127217"
