"(PDH-CSV 4.0) (","\\SOOJANG\Processor Information(_Total)\% Processor Utility","\\SOOJANG\Process(GhostWin.App)\% Processor Time"
"04/27/2026 08:37:29.910"," "," "
"04/27/2026 08:37:31.039","23.514065764001280456","86.163786510589403633"
"04/27/2026 08:37:32.079","39.95562260297776902","113.09139743957699409"
"04/27/2026 08:37:33.112","15.725019385213995449","62.008583488260015315"
"04/27/2026 08:37:34.142","14.996800714951771027","51.581250543120226837"
"04/27/2026 08:37:35.187","15.823637486419684706","49.340377169565165616"
"04/27/2026 08:37:36.230","15.818325587251285569","46.463810267458882208"
"04/27/2026 08:37:37.262","11.584803763474205596","57.511979927035582705"
"04/27/2026 08:37:38.311","14.275320176087317847","53.610906621904817371"
"04/27/2026 08:37:39.328","13.74846355834407241","45.431989160290839891"
