"frame","sid","panes","vt_dirty","visual_dirty","resize","start_us","build_us","draw_us","present_us","total_us","quads"
"1","0","2","1","1","0","11309.4","10.8","369.5","716.8","12413","2092"
"1","1","2","1","1","0","11375.7","11.1","27.8","508","11929.3","2143"
"3","0","2","1","0","0","10367.1","525.5","23.3","986.9","11907.4","2107"
"3","1","2","1","0","0","10369.9","71.8","32.9","248.7","10730.9","2158"
"4","0","2","1","0","0","13272","461.2","102.7","223.1","14064.1","2234"
"4","1","2","1","0","0","11042.1","62.7","73.4","135.7","11320.8","2285"
"27","0","2","1","0","0","8591.7","322.7","159","159.7","9237.3","2259"
"27","1","2","1","0","0","11925.4","179.6","204.5","262.5","12578.1","2310"
